#   rho[fm-3]     e[MeV.fm-3]   p[MeV.fm-3]
   0.793976E+00  0.896750E+03  0.263533E+03
   0.799960E+00  0.905513E+03  0.268384E+03
   0.805944E+00  0.914313E+03  0.273274E+03
   0.811928E+00  0.923148E+03  0.278205E+03
   0.817912E+00  0.932021E+03  0.283176E+03
   0.823896E+00  0.940929E+03  0.288186E+03
   0.829880E+00  0.949875E+03  0.293237E+03
   0.835863E+00  0.958857E+03  0.298327E+03
   0.841847E+00  0.967875E+03  0.303457E+03
   0.847831E+00  0.976930E+03  0.308626E+03
   0.853815E+00  0.986022E+03  0.313835E+03
   0.859799E+00  0.995150E+03  0.319082E+03
   0.865783E+00  0.100432E+04  0.324369E+03
   0.871767E+00  0.101352E+04  0.329696E+03
   0.877751E+00  0.102276E+04  0.335061E+03
   0.883735E+00  0.103203E+04  0.340465E+03
   0.889719E+00  0.104134E+04  0.345908E+03
   0.895703E+00  0.105069E+04  0.351389E+03
   0.901687E+00  0.106008E+04  0.356910E+03
   0.907671E+00  0.106950E+04  0.362468E+03
   0.913655E+00  0.107896E+04  0.368066E+03
   0.919639E+00  0.108845E+04  0.373701E+03
   0.925622E+00  0.109798E+04  0.379375E+03
   0.931606E+00  0.110755E+04  0.385088E+03
   0.937590E+00  0.111716E+04  0.390838E+03
   0.943574E+00  0.112680E+04  0.396626E+03
   0.949558E+00  0.113648E+04  0.402453E+03
   0.955542E+00  0.114620E+04  0.408317E+03
   0.961526E+00  0.115595E+04  0.414219E+03
   0.967510E+00  0.116574E+04  0.420159E+03
   0.973494E+00  0.117557E+04  0.426137E+03
   0.979478E+00  0.118543E+04  0.432152E+03
   0.985462E+00  0.119533E+04  0.438205E+03
   0.991446E+00  0.120527E+04  0.444295E+03
   0.997430E+00  0.121525E+04  0.450423E+03
   0.100341E+01  0.122526E+04  0.456588E+03
   0.100940E+01  0.123531E+04  0.462790E+03
   0.101538E+01  0.124539E+04  0.469030E+03
   0.102137E+01  0.125551E+04  0.475307E+03
   0.102735E+01  0.126567E+04  0.481621E+03
   0.103333E+01  0.127587E+04  0.487972E+03
   0.103932E+01  0.128610E+04  0.494360E+03
   0.104530E+01  0.129637E+04  0.500784E+03
   0.105129E+01  0.130668E+04  0.507246E+03
   0.105727E+01  0.131702E+04  0.513745E+03
   0.106325E+01  0.132740E+04  0.520280E+03
   0.106924E+01  0.133782E+04  0.526852E+03
   0.107522E+01  0.134827E+04  0.533460E+03
   0.108120E+01  0.135876E+04  0.540105E+03
   0.108719E+01  0.136929E+04  0.546787E+03
   0.109317E+01  0.137985E+04  0.553505E+03
   0.109916E+01  0.139046E+04  0.560260E+03
   0.110514E+01  0.140109E+04  0.567051E+03
   0.111112E+01  0.141177E+04  0.573878E+03
   0.111711E+01  0.142248E+04  0.580741E+03
   0.112309E+01  0.143323E+04  0.587641E+03
   0.112908E+01  0.144402E+04  0.594577E+03
   0.113506E+01  0.145484E+04  0.601549E+03
   0.114104E+01  0.146570E+04  0.608557E+03
   0.114703E+01  0.147659E+04  0.615601E+03
   0.115301E+01  0.148753E+04  0.622681E+03
   0.115900E+01  0.149850E+04  0.629797E+03
   0.116498E+01  0.150950E+04  0.636949E+03
   0.117096E+01  0.152055E+04  0.644137E+03
   0.117695E+01  0.153163E+04  0.651360E+03
   0.118293E+01  0.154275E+04  0.658620E+03
   0.118892E+01  0.155390E+04  0.665915E+03
   0.119490E+01  0.156509E+04  0.673245E+03
   0.120088E+01  0.157632E+04  0.680612E+03
   0.120687E+01  0.158758E+04  0.688013E+03
   0.121285E+01  0.159888E+04  0.695451E+03
   0.121884E+01  0.161022E+04  0.702924E+03
   0.122482E+01  0.162160E+04  0.710432E+03
   0.123080E+01  0.163301E+04  0.717976E+03
   0.123679E+01  0.164446E+04  0.725555E+03
   0.124277E+01  0.165594E+04  0.733170E+03
   0.124876E+01  0.166747E+04  0.740820E+03
   0.125474E+01  0.167902E+04  0.748505E+03
   0.126072E+01  0.169062E+04  0.756225E+03
   0.126671E+01  0.170225E+04  0.763980E+03
   0.127269E+01  0.171392E+04  0.771771E+03
   0.127867E+01  0.172563E+04  0.779597E+03
   0.128466E+01  0.173737E+04  0.787458E+03
   0.129064E+01  0.174915E+04  0.795354E+03
   0.129663E+01  0.176096E+04  0.803285E+03
   0.130261E+01  0.177282E+04  0.811251E+03
   0.130859E+01  0.178470E+04  0.819251E+03
   0.131458E+01  0.179663E+04  0.827287E+03
   0.132056E+01  0.180859E+04  0.835358E+03
   0.132655E+01  0.182059E+04  0.843463E+03
   0.133253E+01  0.183263E+04  0.851604E+03
   0.133851E+01  0.184470E+04  0.859779E+03
   0.134450E+01  0.185681E+04  0.867989E+03
   0.135048E+01  0.186895E+04  0.876233E+03
   0.135647E+01  0.188114E+04  0.884512E+03
   0.136245E+01  0.189335E+04  0.892826E+03
   0.136843E+01  0.190561E+04  0.901175E+03
   0.137442E+01  0.191790E+04  0.909558E+03
   0.138040E+01  0.193023E+04  0.917975E+03
   0.138639E+01  0.194260E+04  0.926427E+03
   0.139237E+01  0.195500E+04  0.934914E+03
   0.139835E+01  0.196743E+04  0.943435E+03
   0.140434E+01  0.197991E+04  0.951991E+03
   0.141032E+01  0.199242E+04  0.960580E+03
   0.141631E+01  0.200497E+04  0.969205E+03
   0.142229E+01  0.201755E+04  0.977863E+03
   0.142827E+01  0.203017E+04  0.986556E+03
   0.143426E+01  0.204283E+04  0.995284E+03
   0.144024E+01  0.205552E+04  0.100405E+04
   0.144622E+01  0.206825E+04  0.101284E+04
   0.145221E+01  0.208102E+04  0.102167E+04
   0.145819E+01  0.209382E+04  0.103053E+04
   0.146418E+01  0.210666E+04  0.103943E+04
   0.147016E+01  0.211954E+04  0.104837E+04
   0.147614E+01  0.213245E+04  0.105733E+04
   0.148213E+01  0.214540E+04  0.106633E+04
   0.148811E+01  0.215839E+04  0.107537E+04
   0.149410E+01  0.217141E+04  0.108444E+04
   0.150008E+01  0.218447E+04  0.109354E+04
   0.150606E+01  0.219756E+04  0.110268E+04
   0.151205E+01  0.221069E+04  0.111185E+04
   0.151803E+01  0.222386E+04  0.112105E+04
   0.152402E+01  0.223706E+04  0.113029E+04
