#   rho[fm-3]     e[MeV.fm-3]   p[MeV.fm-3]
   0.793976E+00  0.101544E+04  0.462238E+03
   0.799960E+00  0.102661E+04  0.470134E+03
   0.805944E+00  0.103783E+04  0.478087E+03
   0.811928E+00  0.104912E+04  0.486097E+03
   0.817912E+00  0.106046E+04  0.494165E+03
   0.823896E+00  0.107186E+04  0.502289E+03
   0.829880E+00  0.108333E+04  0.510471E+03
   0.835863E+00  0.109485E+04  0.518709E+03
   0.841847E+00  0.110643E+04  0.527004E+03
   0.847831E+00  0.111807E+04  0.535355E+03
   0.853815E+00  0.112977E+04  0.543763E+03
   0.859799E+00  0.114153E+04  0.552228E+03
   0.865783E+00  0.115334E+04  0.560749E+03
   0.871767E+00  0.116522E+04  0.569326E+03
   0.877751E+00  0.117716E+04  0.577959E+03
   0.883735E+00  0.118915E+04  0.586648E+03
   0.889719E+00  0.120121E+04  0.595394E+03
   0.895703E+00  0.121332E+04  0.604195E+03
   0.901687E+00  0.122549E+04  0.613052E+03
   0.907671E+00  0.123772E+04  0.621965E+03
   0.913655E+00  0.125001E+04  0.630933E+03
   0.919639E+00  0.126236E+04  0.639957E+03
   0.925622E+00  0.127477E+04  0.649037E+03
   0.931606E+00  0.128723E+04  0.658172E+03
   0.937590E+00  0.129976E+04  0.667363E+03
   0.943574E+00  0.131234E+04  0.676609E+03
   0.949558E+00  0.132499E+04  0.685910E+03
   0.955542E+00  0.133769E+04  0.695266E+03
   0.961526E+00  0.135045E+04  0.704677E+03
   0.967510E+00  0.136327E+04  0.714144E+03
   0.973494E+00  0.137614E+04  0.723665E+03
   0.979478E+00  0.138908E+04  0.733242E+03
   0.985462E+00  0.140208E+04  0.742873E+03
   0.991446E+00  0.141513E+04  0.752559E+03
   0.997430E+00  0.142824E+04  0.762300E+03
   0.100341E+01  0.144141E+04  0.772095E+03
   0.100940E+01  0.145464E+04  0.781946E+03
   0.101538E+01  0.146793E+04  0.791850E+03
   0.102137E+01  0.148128E+04  0.801810E+03
   0.102735E+01  0.149468E+04  0.811823E+03
   0.103333E+01  0.150815E+04  0.821891E+03
   0.103932E+01  0.152167E+04  0.832014E+03
   0.104530E+01  0.153525E+04  0.842191E+03
   0.105129E+01  0.154889E+04  0.852422E+03
   0.105727E+01  0.156259E+04  0.862707E+03
   0.106325E+01  0.157634E+04  0.873046E+03
   0.106924E+01  0.159016E+04  0.883440E+03
   0.107522E+01  0.160403E+04  0.893887E+03
   0.108120E+01  0.161796E+04  0.904389E+03
   0.108719E+01  0.163195E+04  0.914945E+03
   0.109317E+01  0.164600E+04  0.925554E+03
   0.109916E+01  0.166010E+04  0.936217E+03
   0.110514E+01  0.167427E+04  0.946934E+03
   0.111112E+01  0.168849E+04  0.957705E+03
   0.111711E+01  0.170277E+04  0.968530E+03
   0.112309E+01  0.171711E+04  0.979408E+03
   0.112908E+01  0.173150E+04  0.990340E+03
   0.113506E+01  0.174596E+04  0.100133E+04
   0.114104E+01  0.176047E+04  0.101236E+04
   0.114703E+01  0.177504E+04  0.102346E+04
   0.115301E+01  0.178967E+04  0.103460E+04
   0.115900E+01  0.180436E+04  0.104580E+04
   0.116498E+01  0.181910E+04  0.105706E+04
   0.117096E+01  0.183390E+04  0.106836E+04
   0.117695E+01  0.184876E+04  0.107972E+04
   0.118293E+01  0.186368E+04  0.109113E+04
   0.118892E+01  0.187866E+04  0.110260E+04
   0.119490E+01  0.189369E+04  0.111412E+04
   0.120088E+01  0.190878E+04  0.112569E+04
   0.120687E+01  0.192393E+04  0.113732E+04
   0.121285E+01  0.193914E+04  0.114900E+04
   0.121884E+01  0.195440E+04  0.116073E+04
   0.122482E+01  0.196973E+04  0.117251E+04
   0.123080E+01  0.198511E+04  0.118435E+04
   0.123679E+01  0.200055E+04  0.119624E+04
   0.124277E+01  0.201604E+04  0.120818E+04
   0.124876E+01  0.203160E+04  0.122018E+04
   0.125474E+01  0.204721E+04  0.123223E+04
   0.126072E+01  0.206287E+04  0.124433E+04
   0.126671E+01  0.207860E+04  0.125649E+04
   0.127269E+01  0.209438E+04  0.126869E+04
   0.127867E+01  0.211023E+04  0.128095E+04
   0.128466E+01  0.212612E+04  0.129327E+04
   0.129064E+01  0.214208E+04  0.130563E+04
   0.129663E+01  0.215809E+04  0.131805E+04
   0.130261E+01  0.217417E+04  0.133052E+04
   0.130859E+01  0.219029E+04  0.134304E+04
   0.131458E+01  0.220648E+04  0.135562E+04
   0.132056E+01  0.222272E+04  0.136825E+04
   0.132655E+01  0.223902E+04  0.138093E+04
   0.133253E+01  0.225538E+04  0.139366E+04
   0.133851E+01  0.227180E+04  0.140645E+04
   0.134450E+01  0.228827E+04  0.141928E+04
   0.135048E+01  0.230480E+04  0.143217E+04
   0.135647E+01  0.232139E+04  0.144512E+04
   0.136245E+01  0.233803E+04  0.145811E+04
   0.136843E+01  0.235473E+04  0.147116E+04
   0.137442E+01  0.237149E+04  0.148426E+04
