#   rho[fm-3]     e[MeV.fm-3]   p[MeV.fm-3]
   0.400000E-01  0.353793E+02  0.156175E+00
   0.459839E-01  0.435851E+02  0.197408E+00
   0.519679E-01  0.492841E+02  0.221732E+00
   0.579518E-01  0.549859E+02  0.244733E+00
   0.639357E-01  0.606900E+02  0.267442E+00
   0.699197E-01  0.663962E+02  0.291193E+00
   0.759036E-01  0.721046E+02  0.317583E+00
   0.818876E-01  0.778152E+02  0.348438E+00
   0.878715E-01  0.835283E+02  0.385788E+00
   0.938554E-01  0.892442E+02  0.431844E+00
   0.998394E-01  0.949634E+02  0.488977E+00
   0.105823E+00  0.100686E+03  0.559179E+00
   0.111807E+00  0.106414E+03  0.642931E+00
   0.117791E+00  0.112146E+03  0.744518E+00
   0.123775E+00  0.117884E+03  0.867300E+00
   0.129759E+00  0.123628E+03  0.101442E+01
   0.135743E+00  0.129380E+03  0.118898E+01
   0.141727E+00  0.135140E+03  0.139406E+01
   0.147711E+00  0.140910E+03  0.163276E+01
   0.153695E+00  0.146690E+03  0.190816E+01
   0.159679E+00  0.152481E+03  0.222332E+01
   0.165663E+00  0.158285E+03  0.258129E+01
   0.171647E+00  0.164103E+03  0.298508E+01
   0.177631E+00  0.169936E+03  0.343764E+01
   0.183614E+00  0.175785E+03  0.394187E+01
   0.189598E+00  0.181651E+03  0.450057E+01
   0.195582E+00  0.187535E+03  0.511649E+01
   0.201566E+00  0.193440E+03  0.579223E+01
   0.207550E+00  0.199365E+03  0.653032E+01
   0.213534E+00  0.205313E+03  0.733316E+01
   0.219518E+00  0.211283E+03  0.820301E+01
   0.225502E+00  0.217279E+03  0.914200E+01
   0.231486E+00  0.223301E+03  0.101521E+02
   0.237470E+00  0.229349E+03  0.112352E+02
   0.243454E+00  0.235426E+03  0.123930E+02
   0.249438E+00  0.241532E+03  0.136270E+02
   0.255422E+00  0.247668E+03  0.149386E+02
   0.261406E+00  0.253837E+03  0.163290E+02
   0.267390E+00  0.260038E+03  0.177994E+02
   0.273373E+00  0.266273E+03  0.193508E+02
   0.279357E+00  0.272542E+03  0.209839E+02
   0.285341E+00  0.278848E+03  0.226993E+02
   0.291325E+00  0.285190E+03  0.244978E+02
   0.297309E+00  0.291570E+03  0.263797E+02
   0.303293E+00  0.297989E+03  0.283453E+02
   0.309277E+00  0.304448E+03  0.303949E+02
   0.315261E+00  0.310947E+03  0.325286E+02
   0.321245E+00  0.317487E+03  0.347464E+02
   0.327229E+00  0.324069E+03  0.370481E+02
   0.333213E+00  0.330694E+03  0.394338E+02
   0.339197E+00  0.337363E+03  0.419032E+02
   0.345181E+00  0.344076E+03  0.444560E+02
   0.351165E+00  0.350834E+03  0.470918E+02
   0.357149E+00  0.357638E+03  0.498104E+02
   0.363133E+00  0.364488E+03  0.526112E+02
   0.369116E+00  0.371385E+03  0.554939E+02
   0.375100E+00  0.378329E+03  0.584578E+02
   0.381084E+00  0.385321E+03  0.615026E+02
   0.387068E+00  0.392361E+03  0.646276E+02
   0.393052E+00  0.399451E+03  0.678323E+02
   0.399036E+00  0.406590E+03  0.711160E+02
   0.405020E+00  0.413778E+03  0.744783E+02
   0.411004E+00  0.421017E+03  0.779185E+02
   0.416988E+00  0.428307E+03  0.814359E+02
   0.422972E+00  0.435647E+03  0.850300E+02
   0.428956E+00  0.443039E+03  0.887002E+02
   0.434940E+00  0.450483E+03  0.924458E+02
   0.440924E+00  0.457979E+03  0.962662E+02
   0.446908E+00  0.465527E+03  0.100161E+03
   0.452892E+00  0.473128E+03  0.104129E+03
   0.458876E+00  0.480781E+03  0.108170E+03
   0.464859E+00  0.488488E+03  0.112284E+03
   0.470843E+00  0.496248E+03  0.116470E+03
   0.476827E+00  0.504062E+03  0.120727E+03
   0.482811E+00  0.511930E+03  0.125054E+03
   0.488795E+00  0.519852E+03  0.129452E+03
   0.494779E+00  0.527828E+03  0.133919E+03
   0.500763E+00  0.535858E+03  0.138456E+03
   0.506747E+00  0.543943E+03  0.143061E+03
   0.512731E+00  0.552083E+03  0.147734E+03
   0.518715E+00  0.560278E+03  0.152475E+03
   0.524699E+00  0.568528E+03  0.157283E+03
   0.530683E+00  0.576833E+03  0.162158E+03
   0.536667E+00  0.585194E+03  0.167099E+03
   0.542651E+00  0.593610E+03  0.172106E+03
   0.548635E+00  0.602081E+03  0.177178E+03
   0.554618E+00  0.610609E+03  0.182315E+03
   0.560602E+00  0.619191E+03  0.187517E+03
   0.566586E+00  0.627830E+03  0.192783E+03
   0.572570E+00  0.636525E+03  0.198112E+03
   0.578554E+00  0.645276E+03  0.203505E+03
   0.584538E+00  0.654083E+03  0.208961E+03
   0.590522E+00  0.662946E+03  0.214480E+03
   0.596506E+00  0.671865E+03  0.220061E+03
   0.602490E+00  0.680841E+03  0.225704E+03
   0.608474E+00  0.689873E+03  0.231409E+03
   0.614458E+00  0.698961E+03  0.237176E+03
   0.620442E+00  0.708106E+03  0.243003E+03
   0.626426E+00  0.717308E+03  0.248891E+03
   0.632410E+00  0.726566E+03  0.254840E+03
   0.638394E+00  0.735880E+03  0.260849E+03
   0.644378E+00  0.745251E+03  0.266918E+03
   0.650361E+00  0.754679E+03  0.273047E+03
   0.656345E+00  0.764163E+03  0.279235E+03
   0.662329E+00  0.773704E+03  0.285483E+03
   0.668313E+00  0.783302E+03  0.291789E+03
   0.674297E+00  0.792957E+03  0.298155E+03
   0.680281E+00  0.802668E+03  0.304578E+03
   0.686265E+00  0.812436E+03  0.311061E+03
   0.692249E+00  0.822261E+03  0.317601E+03
   0.698233E+00  0.832142E+03  0.324199E+03
   0.704217E+00  0.842081E+03  0.330856E+03
   0.710201E+00  0.852076E+03  0.337569E+03
   0.716185E+00  0.862128E+03  0.344340E+03
   0.722169E+00  0.872237E+03  0.351169E+03
   0.728153E+00  0.882402E+03  0.358054E+03
   0.734137E+00  0.892625E+03  0.364996E+03
   0.740120E+00  0.902904E+03  0.371995E+03
   0.746104E+00  0.913240E+03  0.379050E+03
   0.752088E+00  0.923633E+03  0.386162E+03
   0.758072E+00  0.934082E+03  0.393330E+03
   0.764056E+00  0.944589E+03  0.400554E+03
   0.770040E+00  0.955152E+03  0.407834E+03
   0.776024E+00  0.965772E+03  0.415170E+03
   0.782008E+00  0.976449E+03  0.422562E+03
   0.787992E+00  0.987183E+03  0.430009E+03
   0.793976E+00  0.997973E+03  0.437511E+03
   0.799960E+00  0.100882E+04  0.445069E+03
   0.805944E+00  0.101972E+04  0.452682E+03
   0.811928E+00  0.103068E+04  0.460350E+03
   0.817912E+00  0.104170E+04  0.468073E+03
   0.823896E+00  0.105278E+04  0.475851E+03
   0.829880E+00  0.106391E+04  0.483684E+03
   0.835863E+00  0.107509E+04  0.491571E+03
   0.841847E+00  0.108634E+04  0.499513E+03
   0.847831E+00  0.109764E+04  0.507509E+03
   0.853815E+00  0.110900E+04  0.515559E+03
   0.859799E+00  0.112041E+04  0.523664E+03
   0.865783E+00  0.113188E+04  0.531823E+03
   0.871767E+00  0.114341E+04  0.540035E+03
   0.877751E+00  0.115499E+04  0.548302E+03
   0.883735E+00  0.116663E+04  0.556623E+03
   0.889719E+00  0.117833E+04  0.564997E+03
   0.895703E+00  0.119008E+04  0.573425E+03
   0.901687E+00  0.120189E+04  0.581907E+03
   0.907671E+00  0.121376E+04  0.590442E+03
   0.913655E+00  0.122568E+04  0.599031E+03
   0.919639E+00  0.123766E+04  0.607673E+03
   0.925622E+00  0.124970E+04  0.616369E+03
   0.931606E+00  0.126179E+04  0.625117E+03
   0.937590E+00  0.127394E+04  0.633919E+03
   0.943574E+00  0.128614E+04  0.642774E+03
   0.949558E+00  0.129840E+04  0.651682E+03
   0.955542E+00  0.131072E+04  0.660643E+03
   0.961526E+00  0.132309E+04  0.669656E+03
   0.967510E+00  0.133552E+04  0.678723E+03
   0.973494E+00  0.134801E+04  0.687842E+03
   0.979478E+00  0.136055E+04  0.697014E+03
   0.985462E+00  0.137315E+04  0.706239E+03
   0.991446E+00  0.138580E+04  0.715516E+03
   0.997430E+00  0.139851E+04  0.724846E+03
   0.100341E+01  0.141128E+04  0.734228E+03
   0.100940E+01  0.142410E+04  0.743662E+03
   0.101538E+01  0.143698E+04  0.753149E+03
   0.102137E+01  0.144992E+04  0.762688E+03
   0.102735E+01  0.146291E+04  0.772280E+03
   0.103333E+01  0.147596E+04  0.781923E+03
   0.103932E+01  0.148906E+04  0.791619E+03
   0.104530E+01  0.150222E+04  0.801367E+03
   0.105129E+01  0.151543E+04  0.811166E+03
   0.105727E+01  0.152870E+04  0.821018E+03
   0.106325E+01  0.154203E+04  0.830922E+03
   0.106924E+01  0.155541E+04  0.840877E+03
   0.107522E+01  0.156885E+04  0.850885E+03
   0.108120E+01  0.158235E+04  0.860944E+03
   0.108719E+01  0.159590E+04  0.871054E+03
   0.109317E+01  0.160950E+04  0.881217E+03
   0.109916E+01  0.162316E+04  0.891431E+03
   0.110514E+01  0.163688E+04  0.901697E+03
   0.111112E+01  0.165066E+04  0.912014E+03
   0.111711E+01  0.166448E+04  0.922383E+03
   0.112309E+01  0.167837E+04  0.932803E+03
   0.112908E+01  0.169231E+04  0.943274E+03
   0.113506E+01  0.170631E+04  0.953797E+03
   0.114104E+01  0.172036E+04  0.964372E+03
   0.114703E+01  0.173446E+04  0.974997E+03
   0.115301E+01  0.174863E+04  0.985674E+03
   0.115900E+01  0.176285E+04  0.996402E+03
   0.116498E+01  0.177712E+04  0.100718E+04
   0.117096E+01  0.179145E+04  0.101801E+04
   0.117695E+01  0.180583E+04  0.102889E+04
   0.118293E+01  0.182027E+04  0.103982E+04
   0.118892E+01  0.183477E+04  0.105081E+04
   0.119490E+01  0.184932E+04  0.106184E+04
   0.120088E+01  0.186393E+04  0.107293E+04
   0.120687E+01  0.187859E+04  0.108406E+04
   0.121285E+01  0.189331E+04  0.109525E+04
   0.121884E+01  0.190808E+04  0.110649E+04
   0.122482E+01  0.192291E+04  0.111778E+04
   0.123080E+01  0.193779E+04  0.112912E+04
   0.123679E+01  0.195273E+04  0.114051E+04
   0.124277E+01  0.196772E+04  0.115195E+04
   0.124876E+01  0.198277E+04  0.116344E+04
   0.125474E+01  0.199787E+04  0.117498E+04
   0.126072E+01  0.201303E+04  0.118657E+04
   0.126671E+01  0.202825E+04  0.119822E+04
   0.127269E+01  0.204352E+04  0.120991E+04
   0.127867E+01  0.205884E+04  0.122166E+04
   0.128466E+01  0.207422E+04  0.123345E+04
   0.129064E+01  0.208966E+04  0.124529E+04
   0.129663E+01  0.210515E+04  0.125719E+04
   0.130261E+01  0.212069E+04  0.126914E+04
   0.130859E+01  0.213629E+04  0.128113E+04
   0.131458E+01  0.215194E+04  0.129318E+04
   0.132056E+01  0.216765E+04  0.130527E+04
   0.132655E+01  0.218342E+04  0.131742E+04
   0.133253E+01  0.219924E+04  0.132962E+04
   0.133851E+01  0.221511E+04  0.134187E+04
   0.134450E+01  0.223104E+04  0.135416E+04
   0.135048E+01  0.224703E+04  0.136651E+04
   0.135647E+01  0.226306E+04  0.137891E+04
   0.136245E+01  0.227916E+04  0.139136E+04
   0.136843E+01  0.229531E+04  0.140385E+04
   0.137442E+01  0.231151E+04  0.141640E+04
   0.138040E+01  0.232777E+04  0.142900E+04
   0.138639E+01  0.234408E+04  0.144165E+04
   0.139237E+01  0.236045E+04  0.145434E+04
   0.139835E+01  0.237687E+04  0.146709E+04
   0.140434E+01  0.239335E+04  0.147989E+04
   0.141032E+01  0.240988E+04  0.149274E+04
   0.141631E+01  0.242646E+04  0.150563E+04
   0.142229E+01  0.244310E+04  0.151858E+04
   0.142827E+01  0.245980E+04  0.153157E+04
   0.143426E+01  0.247655E+04  0.154462E+04
