#   rho[fm-3]     e[MeV.fm-3]   p[MeV.fm-3]
   0.793976E+00  0.975705E+03  0.388829E+03
   0.799960E+00  0.986014E+03  0.395445E+03
   0.805944E+00  0.996372E+03  0.402107E+03
   0.811928E+00  0.100678E+04  0.408816E+03
   0.817912E+00  0.101724E+04  0.415572E+03
   0.823896E+00  0.102775E+04  0.422373E+03
   0.829880E+00  0.103830E+04  0.429221E+03
   0.835863E+00  0.104891E+04  0.436114E+03
   0.841847E+00  0.105956E+04  0.443053E+03
   0.847831E+00  0.107027E+04  0.450039E+03
   0.853815E+00  0.108103E+04  0.457069E+03
   0.859799E+00  0.109183E+04  0.464146E+03
   0.865783E+00  0.110268E+04  0.471267E+03
   0.871767E+00  0.111359E+04  0.478434E+03
   0.877751E+00  0.112454E+04  0.485647E+03
   0.883735E+00  0.113554E+04  0.492904E+03
   0.889719E+00  0.114659E+04  0.500207E+03
   0.895703E+00  0.115769E+04  0.507554E+03
   0.901687E+00  0.116884E+04  0.514947E+03
   0.907671E+00  0.118004E+04  0.522384E+03
   0.913655E+00  0.119129E+04  0.529866E+03
   0.919639E+00  0.120259E+04  0.537392E+03
   0.925622E+00  0.121393E+04  0.544964E+03
   0.931606E+00  0.122533E+04  0.552579E+03
   0.937590E+00  0.123677E+04  0.560239E+03
   0.943574E+00  0.124827E+04  0.567943E+03
   0.949558E+00  0.125981E+04  0.575692E+03
   0.955542E+00  0.127140E+04  0.583485E+03
   0.961526E+00  0.128304E+04  0.591322E+03
   0.967510E+00  0.129473E+04  0.599202E+03
   0.973494E+00  0.130647E+04  0.607127E+03
   0.979478E+00  0.131826E+04  0.615096E+03
   0.985462E+00  0.133009E+04  0.623108E+03
   0.991446E+00  0.134198E+04  0.631164E+03
   0.997430E+00  0.135391E+04  0.639264E+03
   0.100341E+01  0.136589E+04  0.647408E+03
   0.100940E+01  0.137792E+04  0.655595E+03
   0.101538E+01  0.139000E+04  0.663825E+03
   0.102137E+01  0.140213E+04  0.672099E+03
   0.102735E+01  0.141431E+04  0.680416E+03
   0.103333E+01  0.142653E+04  0.688777E+03
   0.103932E+01  0.143881E+04  0.697180E+03
   0.104530E+01  0.145113E+04  0.705627E+03
   0.105129E+01  0.146350E+04  0.714117E+03
