#   rho[fm-3]     e[MeV.fm-3]   p[MeV.fm-3]
   0.793976E+00  0.930817E+03  0.313551E+03
   0.799960E+00  0.940216E+03  0.319023E+03
   0.805944E+00  0.949656E+03  0.324534E+03
   0.811928E+00  0.959137E+03  0.330085E+03
   0.817912E+00  0.968659E+03  0.335675E+03
   0.823896E+00  0.978222E+03  0.341305E+03
   0.829880E+00  0.987826E+03  0.346974E+03
   0.835863E+00  0.997471E+03  0.352681E+03
   0.841847E+00  0.100716E+04  0.358427E+03
   0.847831E+00  0.101688E+04  0.364212E+03
   0.853815E+00  0.102665E+04  0.370036E+03
   0.859799E+00  0.103646E+04  0.375898E+03
   0.865783E+00  0.104631E+04  0.381798E+03
   0.871767E+00  0.105620E+04  0.387737E+03
   0.877751E+00  0.106614E+04  0.393714E+03
   0.883735E+00  0.107611E+04  0.399728E+03
   0.889719E+00  0.108612E+04  0.405781E+03
   0.895703E+00  0.109618E+04  0.411871E+03
   0.901687E+00  0.110627E+04  0.417999E+03
   0.907671E+00  0.111641E+04  0.424165E+03
   0.913655E+00  0.112658E+04  0.430368E+03
   0.919639E+00  0.113680E+04  0.436608E+03
   0.925622E+00  0.114706E+04  0.442886E+03
   0.931606E+00  0.115736E+04  0.449201E+03
   0.937590E+00  0.116770E+04  0.455553E+03
   0.943574E+00  0.117808E+04  0.461941E+03
   0.949558E+00  0.118850E+04  0.468367E+03
   0.955542E+00  0.119896E+04  0.474830E+03
   0.961526E+00  0.120946E+04  0.481329E+03
   0.967510E+00  0.122001E+04  0.487865E+03
   0.973494E+00  0.123059E+04  0.494438E+03
   0.979478E+00  0.124121E+04  0.501047E+03
   0.985462E+00  0.125188E+04  0.507692E+03
   0.991446E+00  0.126258E+04  0.514374E+03
   0.997430E+00  0.127333E+04  0.521092E+03
   0.100341E+01  0.128411E+04  0.527846E+03
   0.100940E+01  0.129494E+04  0.534636E+03
   0.101538E+01  0.130580E+04  0.541462E+03
   0.102137E+01  0.131671E+04  0.548325E+03
   0.102735E+01  0.132766E+04  0.555223E+03
   0.103333E+01  0.133865E+04  0.562157E+03
   0.103932E+01  0.134967E+04  0.569126E+03
   0.104530E+01  0.136074E+04  0.576131E+03
   0.105129E+01  0.137185E+04  0.583172E+03
   0.105727E+01  0.138300E+04  0.590249E+03
   0.106325E+01  0.139419E+04  0.597361E+03
   0.106924E+01  0.140541E+04  0.604508E+03
   0.107522E+01  0.141668E+04  0.611690E+03
   0.108120E+01  0.142799E+04  0.618908E+03
   0.108719E+01  0.143934E+04  0.626161E+03
   0.109317E+01  0.145073E+04  0.633450E+03
   0.109916E+01  0.146216E+04  0.640773E+03
   0.110514E+01  0.147363E+04  0.648132E+03
   0.111112E+01  0.148513E+04  0.655525E+03
   0.111711E+01  0.149668E+04  0.662953E+03
   0.112309E+01  0.150827E+04  0.670417E+03
   0.112908E+01  0.151990E+04  0.677915E+03
   0.113506E+01  0.153157E+04  0.685448E+03
   0.114104E+01  0.154327E+04  0.693015E+03
   0.114703E+01  0.155502E+04  0.700617E+03
   0.115301E+01  0.156681E+04  0.708254E+03
   0.115900E+01  0.157864E+04  0.715925E+03
   0.116498E+01  0.159050E+04  0.723631E+03
   0.117096E+01  0.160241E+04  0.731372E+03
   0.117695E+01  0.161436E+04  0.739146E+03
   0.118293E+01  0.162634E+04  0.746956E+03
   0.118892E+01  0.163837E+04  0.754799E+03
   0.119490E+01  0.165043E+04  0.762677E+03
   0.120088E+01  0.166254E+04  0.770588E+03
   0.120687E+01  0.167468E+04  0.778535E+03
   0.121285E+01  0.168686E+04  0.786515E+03
   0.121884E+01  0.169909E+04  0.794529E+03
   0.122482E+01  0.171135E+04  0.802577E+03
   0.123080E+01  0.172365E+04  0.810660E+03
   0.123679E+01  0.173599E+04  0.818776E+03
   0.124277E+01  0.174837E+04  0.826926E+03
   0.124876E+01  0.176079E+04  0.835110E+03
   0.125474E+01  0.177325E+04  0.843328E+03
   0.126072E+01  0.178575E+04  0.851579E+03
   0.126671E+01  0.179829E+04  0.859864E+03
   0.127269E+01  0.181086E+04  0.868183E+03
   0.127867E+01  0.182348E+04  0.876536E+03
   0.128466E+01  0.183613E+04  0.884922E+03
   0.129064E+01  0.184883E+04  0.893342E+03
   0.129663E+01  0.186156E+04  0.901795E+03
   0.130261E+01  0.187433E+04  0.910282E+03
   0.130859E+01  0.188714E+04  0.918802E+03
   0.131458E+01  0.190000E+04  0.927356E+03
   0.132056E+01  0.191288E+04  0.935943E+03
